Output File                                                Name                              Type      FSH File                                           Lines
StructureDefinition-RemediAdverseEvent.json                RemediAdverseEvent                Profile   profiles\profile_adverse_event.fsh                 1 - 4
StructureDefinition-RemediBiologicallyDerivedProduct.json  RemediBiologicallyDerivedProduct  Profile   profiles\profile_biologically_derived_product.fsh  1 - 3
StructureDefinition-RemediCondition.json                   RemediCondition                   Profile   profiles\profile_condition.fsh                     1 - 4
StructureDefinition-RemediDiagnosticReport.json            RemediDiagnosticReport            Profile   profiles\profile_diagnostic_report.fsh             1 - 4
StructureDefinition-RemediEncounter.json                   RemediEncounter                   Profile   profiles\profile_encounter.fsh                     1 - 4
StructureDefinition-RemediMedication.json                  RemediMedication                  Profile   profiles\profile_medication.fsh                    1 - 3
StructureDefinition-RemediMedicationAdministration.json    RemediMedicationAdministration    Profile   profiles\profile_medication_administration.fsh     1 - 4
StructureDefinition-RemediObservation.json                 RemediObservation                 Profile   profiles\profile_observation.fsh                   1 - 4
StructureDefinition-RemediOrganization.json                RemediOrganization                Profile   profiles\profile_organization.fsh                  1 - 3
StructureDefinition-RemediPatient.json                     RemediPatient                     Profile   profiles\profile_patient.fsh                       1 - 5
StructureDefinition-RemediProcedure.json                   RemediProcedure                   Profile   profiles\profile_procedure.fsh                     1 - 3
StructureDefinition-RemediServiceRequest.json              RemediServiceRequest              Profile   profiles\profile_service_request.fsh               1 - 3
StructureDefinition-RemediSpecimen.json                    RemediSpecimen                    Profile   profiles\profile_specimen.fsh                      1 - 4
StructureDefinition-RemediSupplyDelivery.json              RemediSupplyDelivery              Profile   profiles\profile_supply_delivery.fsh               1 - 5
StructureDefinition-donor.json                             Donor                             Profile   profiles\donor.fsh                                 1 - 18
ValueSet-blood-products-value-set.json                     BloodProductsValueSet             ValueSet  valuesets\bloodproduct.fsh                         1 - 11
